rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-11-01T10:40:52.534862,movie,The Heiress,1949,,,tt0041452,28571,,https://www.themoviedb.org/movie/28571,1949-10-06,,,,,,,,,,,7.7
2024-11-01T10:40:52.739742,movie,His Name Was Jason: 30 Years of Friday the 13th,2010,,,tt1282052,15004,,https://www.themoviedb.org/movie/15004,2010-04-20,,,,,,,,,,,6.994
2024-11-01T10:40:52.964764,movie,Let Me Eat Your Pancreas,2017,,,tt6078840,449132,,https://www.themoviedb.org/movie/449132,2017-07-28,,,,,,,,,,,6.8
2024-11-01T10:40:53.186654,movie,Miss Stevens,2016,,,tt2693580,346134,,https://www.themoviedb.org/movie/346134,2016-09-16,,,,,,,,,,,6.547
2024-11-01T10:40:53.387520,movie,Anna and the King,1999,,,tt0166485,1439,,https://www.themoviedb.org/movie/1439,1999-12-16,,,,,,,,,,,6.777
2024-11-01T10:40:53.640956,movie,The Yin Yang Master,2021,,,tt12151820,758902,,https://www.themoviedb.org/movie/758902,2021-02-12,,,,,,,,,,,6.7
2024-11-01T10:40:53.856832,movie,Sabata,1969,,,tt0064916,52916,,https://www.themoviedb.org/movie/52916,1969-09-16,,,,,,,,,,,6.2
2024-11-01T10:40:54.109687,movie,Hour of the Gun,1967,,,tt0061787,31658,,https://www.themoviedb.org/movie/31658,1967-11-01,,,,,,,,,,,6.4
2024-11-01T10:40:54.323563,movie,Goya's Ghosts,2006,,,tt0455957,11515,,https://www.themoviedb.org/movie/11515,2006-11-08,,,,,,,,,,,6.608
2024-11-01T10:40:55.159706,movie,As It Is in Heaven,2004,,,tt0382330,464,,https://www.themoviedb.org/movie/464,2004-09-03,,,,,,,,,,,7.2
2024-11-01T10:40:55.378579,movie,Us and Them,2018,,,tt8033592,508747,,https://www.themoviedb.org/movie/508747,2018-04-28,,,,,,,,,,,7.6
2024-11-01T10:40:55.587132,movie,Ghost in the Shell: Arise - Border 2: Ghost Whispers,2013,,,tt3017864,212168,,https://www.themoviedb.org/movie/212168,2013-11-29,,,,,,,,,,,7.1
2024-11-01T10:40:55.793004,movie,Killer Bean Forever,2008,,,tt1340108,24528,,https://www.themoviedb.org/movie/24528,2008-09-05,,,,,,,,,,,7.2
2024-11-01T10:40:56.000894,movie,Welcome to Sarajevo,1997,,,tt0120490,14905,,https://www.themoviedb.org/movie/14905,1997-05-09,,,,,,,,,,,6.4
2024-11-01T10:40:56.210773,movie,Raising Cain,1992,,,tt0105217,13937,,https://www.themoviedb.org/movie/13937,1992-08-07,,,,,,,,,,,6.064
2024-11-01T10:40:56.469623,movie,Masquerade,2012,,,tt2290840,133200,,https://www.themoviedb.org/movie/133200,2012-09-13,,,,,,,,,,,7.699
